Description,Revenue,units,Customers
3 TIER CAKE TIN RED AND CREAM,7505.83,559,103
3 TIER SWEETHEART GARDEN SHELF,919.7,26,22
3 TRADITIONAL COOKIE CUTTERS  SET,633.6,336,9
3 TRADITIONAl BISCUIT CUTTERS  SET,2144.7200000000003,1041,111
3 WHITE CHOC MORRIS BOXED CANDLES,1313.85,629,47
3 WICK CHRISTMAS BRIAR CANDLE ,367.5,98,21
36 DOILIES DOLLY GIRL,1971.35,1439,65
36 DOILIES SPACEBOY DESIGN ,791.9,566,32
36 DOILIES VINTAGE CHRISTMAS,6843.65,5021,129
36 FOIL HEART CAKE CASES,3279.0900000000006,1706,99
36 FOIL STAR CAKE CASES ,1939.0400000000002,1135,78
36 PENCILS TUBE POSY,61.25,49,13
36 PENCILS TUBE RED RETROSPOT,3703.51,3099,106
36 PENCILS TUBE RED SPOTTY,2809.11,2347,84
36 PENCILS TUBE SKULLS,2904.74,2370,123
36 PENCILS TUBE WOODLAND,2815.14,2274,129
3D CHRISTMAS STAMPS STICKERS ,1502.68,1204,80
3D DOG PICTURE PLAYING CARDS,2451.3,870,51
3D HEARTS  HONEYCOMB PAPER GARLAND,1583.0500000000002,551,42
3D SHEET OF CAT STICKERS,722.5,850,55
3D SHEET OF DOG STICKERS,703.7299999999999,827,53
3D SHEET OF SEA WORLD STICKERS,81.6,96,14
3D STICKERS CHRISTMAS STAMPS,681.0,560,21
3D STICKERS TRADITIONAL CHRISTMAS ,575.0,460,20
3D STICKERS VINTAGE CHRISTMAS,681.0,560,24
3D TRADITIONAL CHRISTMAS STICKERS,1733.56,1352,107
3D VINTAGE CHRISTMAS STICKERS ,2044.86,1630,102
4 BLUE DINNER CANDLES SILVER FLOCK,348.45,167,17
4 BURGUNDY WINE DINNER CANDLES,272.69,505,21
4 FESTIVE GREEN DINNER CANDLES,23.91,51,2
4 GOLD FLOCK CHRISTMAS BALLS,141.75,81,13
4 IVORY DINNER CANDLES GOLD FLOCK,827.16,720,28
4 IVORY DINNER CANDLES SILVER FLOCK,1461.65,883,72
4 LAVENDER BOTANICAL DINNER CANDLES,1150.0,656,55
4 LILY  BOTANICAL DINNER CANDLES,1185.0,448,42
4 PEAR BOTANICAL DINNER CANDLES,951.75,425,53
4 PINK DINNER CANDLE SILVER FLOCK,302.08,216,19
4 PINK FLOCK CHRISTMAS BALLS,170.5,104,17
4 ROSE PINK DINNER CANDLES,214.71,363,13
4 SKY BLUE DINNER CANDLES,193.46,346,12
4 TRADITIONAL SPINNING TOPS,6604.53,5192,223
4 VANILLA BOTANICAL CANDLES,1060.0,632,63
4 WILDFLOWER BOTANICAL CANDLES,939.25,389,45
5 HOOK BLACKBOARD ORGANISER ,1728.8899999999999,211,51
5 HOOK HANGER MAGIC TOADSTOOL,2311.0499999999997,1517,50
5 HOOK HANGER RED MAGIC TOADSTOOL,6187.049999999999,4125,75
5 STRAND GLASS NECKLACE AMBER,25.4,4,4
5 STRAND GLASS NECKLACE AMETHYST,57.15,9,7
5 STRAND GLASS NECKLACE BLACK,44.45,7,3
5 STRAND GLASS NECKLACE CRYSTAL,76.19999999999999,12,8
50'S CHRISTMAS PAPER GIFT BAG,781.14,977,57
50CM METAL STRING WITH  7 CLIPS,176.97,237,16
6 CHOCOLATE LOVE HEART T-LIGHTS,3407.26,1757,84
6 CROCHET STRAWBERRIES,826.39,721,30
6 EGG HOUSE PAINTED WOOD,4290.09,595,79
6 GIFT TAGS 50'S CHRISTMAS ,1757.4199999999998,2146,138
6 GIFT TAGS VINTAGE CHRISTMAS ,2047.9199999999998,2496,134
6 HOOK JEWELLERY STAND BLACK DRESS,865.3499999999999,427,14
6 RABBIT CHAIN EASTER,30.599999999999998,36,3
6 RIBBONS ELEGANT CHRISTMAS ,2827.1,2036,116
6 RIBBONS EMPIRE  ,1890.6599999999999,1380,105
6 RIBBONS RUSTIC CHARM,19248.14,11464,310
6 RIBBONS SHIMMERING PINKS ,1008.5899999999999,1099,64
6 ROCKET BALLOONS ,1562.25,2361,113
6 SEGMENT COLOURED SNACK BOWL ,79.5,10,5
60 CAKE CASES DOLLY GIRL DESIGN,3478.11,6913,166
60 CAKE CASES VINTAGE CHRISTMAS,9215.82,18594,284
60 GOLD AND SILVER FAIRY CAKE CASES,1557.83,3329,67
60 TEATIME FAIRY CAKE CASES,18777.260000000002,39075,391
6PC WOOD PLATE SET DISPOSABLE,437.0,400,13
70'S ALPHABET WALL ART,977.1,142,10
72 CAKE CASES DOLLY GIRL DESIGN,326.65,679,16
72 CAKE CASES VINTAGE CHRISTMAS,1532.8400000000001,3116,56
72 ROUND PINK DOILIES,82.64999999999999,57,9
72 SWEETHEART FAIRY CAKE CASES,12603.83,26872,330
75 BLACK FAIRY CAKE CASES,355.6,760,19
75 BLACK PETIT FOUR CASES,172.2,410,32
75 GREEN FAIRY CAKE CASES,743.98,1551,46
75 GREEN PETIT FOUR CASES,429.24,1022,57
A PRETTY THANK YOU CARD,126.72,312,19
A4 WALL TIDY BLUE OFFICE,113.46000000000001,210,5
A4 WALL TIDY RED FLOWERS,2.6,4,1
ABC TREASURE BOOK BOX ,3446.26,1676,90
ABSTRACT CIRCLE JOURNAL ,1032.75,543,48
ABSTRACT CIRCLES NOTEBOOK,128.7,78,26
ABSTRACT CIRCLES POCKET BOOK,101.14999999999999,119,27
ABSTRACT CIRCLES SKETCHBOOK ,1064.33,408,51
"ACRYLIC BEAD CHAIN, BLUE",87.02,229,1
"ACRYLIC BEAD CHAIN, PINK",43.32,114,1
ACRYLIC GEOMETRIC LAMP,240.35,13,7
"ACRYLIC HANGING JEWEL,BLUE",83.4,192,12
"ACRYLIC HANGING JEWEL,PINK",9.879999999999999,26,3
"ACRYLIC JEWEL ANGEL,BLUE",52.93,137,2
"ACRYLIC JEWEL ANGEL,PINK",80.24000000000001,202,4
"ACRYLIC JEWEL ICICLE, BLUE",104.53999999999999,235,5
"ACRYLIC JEWEL ICICLE, PINK",96.9,255,10
"ACRYLIC JEWEL SNOWFLAKE, PINK",58.38,131,4
"ACRYLIC JEWEL SNOWFLAKE,BLUE",70.68,186,2
"ACRYLIC JEWEL SNOWFLAKE,PINK",101.4,244,2
ADULT APRON APPLE DELIGHT,713.73,143,21
ADVENT CALENDAR GINGHAM SACK,7299.18,1270,157
AFGHAN SLIPPER SOCK PAIR,3910.85,1193,19
AGED GLASS SILVER T-LIGHT HOLDER,5862.8,9616,132
AIRLINE BAG VINTAGE JET SET BROWN,1280.25,285,65
AIRLINE BAG VINTAGE JET SET RED,2777.99,591,116
AIRLINE BAG VINTAGE JET SET WHITE,1305.99,275,74
AIRLINE BAG VINTAGE TOKYO 78,4423.63,969,126
AIRLINE BAG VINTAGE WORLD CHAMPION ,1599.73,333,85
"AIRLINE LOUNGE,METAL SIGN",1439.8100000000002,701,79
ALARM CLOCK BAKELIKE CHOCOLATE,7137.84,1938,148
ALARM CLOCK BAKELIKE GREEN,21801.46,5887,241
ALARM CLOCK BAKELIKE IVORY,11210.75,2982,187
ALARM CLOCK BAKELIKE ORANGE,8699.55,2370,152
ALARM CLOCK BAKELIKE PINK,18556.73,5078,221
ALARM CLOCK BAKELIKE RED ,26558.59,7402,271
ALPHABET HEARTS STICKER SHEET,525.3,618,36
ALPHABET STENCIL CRAFT,3820.94,3371,127
ALUMINIUM HEART,29.880000000000003,12,2
ALUMINIUM STAMPED HEART,1379.45,581,62
AMBER BERTIE MOBILE PHONE CHARM,8.45,5,1
AMBER CHUNKY BEAD BRACELET W STRAP,143.2,16,5
AMBER CHUNKY GLASS+BEAD NECKLACE,119.5,10,5
AMBER CRYSTAL DROP EARRINGS,2.95,1,1
AMBER DIAMANTE EXPANDABLE RING,68.0,16,6
AMBER DROP EARRINGS W LONG BEADS,20.650000000000002,7,3
AMBER FINE BEAD NECKLACE W TASSEL,17.85,3,2
AMBER GLASS BRACELET HEART CHARMS,4.95,1,1
AMBER GLASS TASSLE BAG CHARM,8.850000000000001,3,1
AMBER GLASS/SHELL/PEARL NECKLACE,26.849999999999998,3,2
AMBER GLASS/SILVER BRACELET,74.1,9,5
AMETHYST CHUNKY BEAD BRACELET W STR,196.89999999999998,22,11
AMETHYST DIAMANTE EXPANDABLE RING,12.75,3,3
AMETHYST HOOP EARRING FLORAL LEAF,67.85000000000001,23,7
ANGEL DECORATION 3 BUTTONS ,1683.3,4049,89
ANGEL DECORATION PAINTED ZINC ,1022.95,1751,39
ANGEL DECORATION STARS ON DRESS,1506.96,3636,73
ANGEL DECORATION WITH LACE PADDED,993.65,1169,57
ANGEL ON KNEES METAL POLE 100CM H,5.1,6,1
ANIMAL STICKERS,524.22,2502,32
ANIMALS AND NATURE WALL ART,833.97,243,12
ANT COPPER LIME BOUDICCA BRACELET,178.20000000000002,36,12
ANT COPPER PINK BOUDICCA BRACELET,136.15,28,7
ANT COPPER RED BOUDICCA BRACELET,54.45,11,5
ANT COPPER TURQ BOUDICCA BRACELET,113.85000000000001,23,9
ANT SILVER FUSCHIA BOUDICCA RING,112.10000000000001,38,7
ANT SILVER LIME GREEN BOUDICCA RING,147.5,50,10
ANT SILVER PURPLE BOUDICCA RING,70.80000000000001,24,5
ANT SILVER TURQUOISE BOUDICCA RING,73.75,25,6
ANT WHITE HIGH RISE BIRD BOX,287.0,47,2
ANT WHITE IRON BASKET,103.05000000000001,19,5
ANT WHITE WIRE HEART SPIRAL,3945.41,1163,104
ANTIQUE ALL GLASS CANDLESTICK,1308.02,861,60
ANTIQUE CREAM CUTLERY CUPBOARD,306.0,24,10
ANTIQUE CREAM CUTLERY SHELF ,442.0,52,23
ANTIQUE EDWARDIAN DRESSER,380.4,24,6
ANTIQUE GLASS DRESSING TABLE POT,4605.91,1609,102
ANTIQUE GLASS HEART DECORATION ,2077.2,1080,60
ANTIQUE GLASS PEDESTAL BOWL,2658.0,733,92
ANTIQUE GLASS PLACE SETTING,281.25,225,15
ANTIQUE GLASS RIDGED HANGING BALL,796.5,438,21
ANTIQUE HEART SHELF UNIT,3279.9,230,43
ANTIQUE IVORY WIRE BOWL SMALL,194.22000000000003,78,16
ANTIQUE LILY FAIRY LIGHTS,9417.7,2098,91
ANTIQUE MID BLUE FLOWER EARRINGS,17.0,4,2
ANTIQUE OLIVE GREEN FLOWER EARRINGS,42.5,10,3
ANTIQUE OPAL WHITE FLOWER EARRINGS,8.5,2,2
ANTIQUE SILVER BAUBLE LAMP  ,2033.55,216,40
ANTIQUE SILVER T-LIGHT GLASS,10609.98,9106,179
ANTIQUE SILVER TEA GLASS ENGRAVED,8617.62,7462,132
ANTIQUE SILVER TEA GLASS ETCHED,16171.59,14163,205
ANTIQUE TALL SWIRLGLASS TRINKET POT,2618.38,712,82
APOTHECARY MEASURING JAR,472.0,41,10
APPLE BATH SPONGE,2705.54,2219,82
APRON APPLE DELIGHT,1439.75,305,51
APRON MODERN VINTAGE COTTON,934.85,383,43
AQUA BERTIE GLASS BEAD BAG CHARM,45.900000000000006,29,4
ARCHED GREY MIRROR,417.45000000000005,67,10
AREA PATROLLED METAL SIGN,12370.94,6274,144
ARMY CAMO BOOKCOVER TAPE,6.72,16,4
ARMY CAMO WRAPPING TAPE,20.150000000000006,31,8
"ART LIGHTS,FUNK MONKEY",1134.45,419,27
ASS COL CIRCLE MOBILE ,255.95999999999998,702,5
ASS COL LARGE SAND FROG P'WEIGHT,265.5,270,31
ASS COL LARGE SAND GECKO P'WEIGHT,312.75,315,23
ASS COL SMALL SAND FROG P'WEIGHT,166.62,431,9
ASS COL SMALL SAND GECKO P'WEIGHT,340.02,861,28
ASS COLOUR GLOWING TIARAS,311.7,426,24
ASS DES PHONE SPONGE CRAFT STICKER,168.29,405,10
ASS FLORAL PRINT MULTI SCREWDRIVER,844.9,1732,69
ASS FLORAL PRINT SCISSORS,131.25,105,11
ASS FLORAL PRINT SPIRIT LEVEL ,74.4,56,21
ASS FLORAL PRINT TAPE MEASURE,197.94,162,9
ASS FLORAL PRINT TORCH,72.6,44,5
"ASS RETROSPOOF MUGS,SPORTS",36.41,61,3
ASS WINDPROOF MARIJUANA LIGHTERS,6.3,15,2
ASSORTED BOTTLE TOP  MAGNETS ,771.84,2014,63
ASSORTED CAKES FRIDGE MAGNETS,1038.88,1616,65
ASSORTED CHEESE FRIDGE MAGNETS,282.19,443,19
ASSORTED CIRCULAR MOBILE,169.38,906,11
ASSORTED COLOUR BIRD ORNAMENT,98677.81999999999,62678,425
ASSORTED COLOUR JUMBO PEN,82.74,198,12
ASSORTED COLOUR LIZARD SUCTION HOOK,539.1,1383,17
ASSORTED COLOUR METAL CAT ,154.85,133,13
ASSORTED COLOUR MINI CASES,15264.539999999999,2194,187
ASSORTED COLOUR SET 6 TEASPOONS,629.0,148,23
ASSORTED COLOUR SILK COIN PURSE,1054.32,2553,19
ASSORTED COLOUR SILK COSMETIC PURSE,1152.25,1128,27
ASSORTED COLOUR SILK GLASSES CASE,808.44,1724,19
ASSORTED COLOUR SUCTION CUP HOOK,47.50000000000001,250,12
ASSORTED COLOUR T-LIGHT HOLDER,2640.62,4138,81
ASSORTED COLOURED CIRCLE MOBILE ,15.54,37,4
ASSORTED COLOURS SILK FAN,18104.9,25286,148
ASSORTED CREEPY CRAWLIES,1708.51,4087,72
ASSORTED DESIGN FLOWER MUGS,5.1,6,2
ASSORTED EASTER DECORATIONS  BELLS,789.3100000000001,719,14
ASSORTED EASTER GIFT TAGS,690.18,834,39
ASSORTED FARMYARD ANIMALS IN BUCKET,209.19,255,18
ASSORTED FLORAL SECATEURS,272.9,180,17
"ASSORTED FLOWER COLOUR ""LEIS""",8635.02,18414,82
ASSORTED FRAGRANCE BATH CONFETTI,10.08,24,3
ASSORTED ICE CREAM FRIDGE MAGNETS,1184.01,1893,57
ASSORTED INCENSE PACK,1378.77,7817,18
ASSORTED LAQUERED INCENSE HOLDERS,294.03000000000003,1583,14
ASSORTED MINI MADRAS NOTEBOOK,580.92,828,18
ASSORTED MONKEY SUCTION CUP HOOK,371.82,971,19
ASSORTED SANSKRIT MINI NOTEBOOK,427.5,342,13
ASSORTED SANTA CHRISTMAS DECORATION,17.849999999999998,21,2
ASSORTED SHAPES PHOTO CLIP SILVER ,414.88,944,11
ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,684.52,820,39
ASSORTED TUTTI FRUTTI BRACELET,523.25,1771,45
ASSORTED TUTTI FRUTTI HEART BOX,632.5,506,31
ASSORTED TUTTI FRUTTI KEYRING,152.14999999999998,179,8
ASSORTED TUTTI FRUTTI KEYRING BALL,311.84,584,20
ASSORTED TUTTI FRUTTI LARGE PURSE,657.3000000000001,313,40
ASSORTED TUTTI FRUTTI MIRROR,874.7,718,32
ASSORTED TUTTI FRUTTI NOTEBOOK,1050.0000000000002,500,36
ASSORTED TUTTI FRUTTI PEN,960.9099999999999,1743,62
ASSORTED TUTTI FRUTTI PHOTO FRAME,306.80000000000007,104,12
ASSORTED TUTTI FRUTTI ROUND BOX,740.8499999999999,449,39
ASSORTED TUTTI FRUTTI SMALL PURSE,1774.98,1482,48
ASSORTED WHITE EMBOSSED CHINA MUGS,1084.8000000000002,568,18
ASSTD COL BUTTERFLY/CRYSTAL W/CHIME,193.94,442,5
ASSTD DESIGN 3D PAPER STICKERS,459.3,956,29
ASSTD DESIGN BUBBLE GUM RING,2148.9,10290,107
ASSTD DESIGN POP ART SLIM PEN,237.15,279,7
ASSTD DESIGN RACING CAR PEN,3702.0499999999997,2389,61
ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,479.91,1581,38
ASSTD HEARTS DESIGN MUGS,528.3,314,4
ASSTD MULTICOLOUR CIRCLES MUG,339.59,793,23
ASSTD RASTA KEY-CHAINS,3.7800000000000002,9,3
Adjustment by Peter on 24/05/2010 1,-731.05,-3,3
Adjustment by Peter on Jun 25 2010 ,731.0500000000001,3,3
Adjustment by john on 26/01/2010 16,861.68,5,9
Adjustment by john on 26/01/2010 17,945.12,5,10
BABUSHKA LIGHTS STRING OF 10,6543.74,1044,119
BABY BOOM RIBBONS ,1783.89,1449,117
BABY MOUSE RED GINGHAM DRESS,892.75,217,37
BAG 125g SWIRLY MARBLES,4089.79,10994,138
BAG 250g SWIRLY MARBLES,6794.16,8847,158
BAG 500g SWIRLY MARBLES,2042.2399999999998,1760,82
BAG FOR CHILDREN VINTAGE BLUE ,408.0,96,1
BAG FOR CHILDREN VINTAGE PINK ,408.0,96,1
BAG OF SILVER STONES,45.78,109,9
BAKING MOULD CHOCOLATE CUP CAKES,30.599999999999998,12,2
BAKING MOULD CHOCOLATE CUPCAKES,1716.29,663,77
BAKING MOULD CUPCAKE CHOCOLATE,30.599999999999998,12,1
BAKING MOULD EASTER EGG MILK CHOC,1517.0000000000002,572,57
BAKING MOULD EASTER EGG WHITE CHOC,1081.8,396,44
BAKING MOULD HEART MILK CHOCOLATE,1756.82,718,80
BAKING MOULD HEART WHITE CHOCOLATE,1381.3600000000001,599,60
BAKING MOULD ROSE MILK CHOCOLATE,1396.0,476,36
BAKING MOULD ROSE WHITE CHOCOLATE,451.88,150,21
BAKING MOULD TOFFEE CUP  CHOCOLATE,15.299999999999999,6,1
BAKING MOULD TOFFEE CUP CHOCOLATE,1234.0500000000002,557,36
BAKING SET 9 PIECE RETROSPOT ,24741.21,5231,449
BAKING SET SPACEBOY DESIGN,11755.210000000001,2511,253
BALLERINA HEART DECORATION.,435.95,327,9
BALLOON ART MAKE YOUR OWN FLOWERS,1176.06,982,71
BALLOON PUMP WITH 10 BALLOONS,2921.48,1566,120
BALLOON WATER BOMB PACK OF 35,2671.38,6979,109
BALLOONS  WRITING SET ,1364.8,828,118
BANK ACCOUNT  GREETING  CARD ,310.8,764,38
BANQUET BIRTHDAY  CARD  ,1103.28,2680,77
BAROQUE BUTTERFLY EARRINGS CRYSTAL,3.75,1,1
BAROQUE BUTTERFLY EARRINGS MONTANA,7.5,2,2
BAROQUE BUTTERFLY EARRINGS RED,3.75,1,1
BASKET OF FLOWERS SEWING KIT,1027.31,1277,44
BASKET OF TOADSTOOLS,1533.75,1227,66
BASKET/8 SCENTED LOVE TOKEN CANDLES,183.75,49,18
BATH BUILDING BLOCK WORD,6109.7300000000005,1030,167
BATH DUCK WATERING CAN,1505.47,649,47
BATHROOM HOOK,92.52,108,16
BATHROOM METAL SIGN,4871.92,9240,223
BATHROOM METAL SIGN ,1689.6499999999999,1253,74
BATHROOM SCALES FOOTPRINTS IN SAND,241.75,73,20
BATHROOM SCALES RUBBER DUCKS,231.55,69,14
"BATHROOM SCALES, FAG BREAK",7.5,2,2
"BATHROOM SCALES, TROPICAL BEACH",105.0,28,14
BATHROOM SET LOVE HEART DESIGN,1322.3,554,19
BEACH HUT DESIGN BLACKBOARD,636.1999999999999,280,24
BEACH HUT KEY CABINET,433.75,211,23
BEACH HUT MIRROR,484.24,264,22
BEACH HUT PHOTO FRAME,343.4,352,9
BEACH HUT SHELF W 3 DRAWERS,650.65,227,24
BEADED CHANDELIER T-LIGHT HOLDER,609.79,229,18
BEADED CRYSTAL HEART BLUE  LARGE,374.7,360,27
BEADED CRYSTAL HEART BLUE ON STICK,135.27,201,9
BEADED CRYSTAL HEART BLUE SMALL,246.35,196,19
BEADED CRYSTAL HEART GREEN LARGE,575.52,628,31
BEADED CRYSTAL HEART GREEN ON STICK,168.19,263,5
BEADED CRYSTAL HEART GREEN SMALL,125.58,104,13
BEADED CRYSTAL HEART PINK LARGE,489.63,453,33
BEADED CRYSTAL HEART PINK ON STICK,208.42000000000002,356,11
BEADED CRYSTAL HEART PINK SMALL,370.35,271,22
BEADED CRYSTAL HEART PINK\ON STICK,5.0,4,2
BEADED LOVE HEART JEWELLERY SET,896.1399999999999,1102,34
BEADED PEARL HEART WHITE LARGE,580.05,353,28
BEADED PEARL HEART WHITE ON STICK,609.12,846,31
BEAUTY SPEED EXPRESSO CUPS,53.25,15,5
BEECH WOOD P/FRAME,7.25,1,1
BEECH WOOD PHOTO FRAME ,277.5,222,4
BEIGE PHOTO ALBUM,166.8,80,7
BELL HEART ANTIQUE GOLD,24.96,12,1
BELL HEART DECORATION,288.0,192,5
BELLE JARDINIERE CUSHION COVER,1610.73,431,75
BENDY COLOUR PENCILS,1.68,4,1
BERRIES CHUNKY KNITTED THROW ,33.9,2,2
BEST DAD CANDLE LETTERS,124.46,182,13
BEWARE OF THE CAT DOORMAT,0.0,0,1
BEWARE OF THE CAT METAL SIGN ,11461.08,7500,172
BICYCLE PUNCTURE REPAIR KIT ,3149.52,1640,74
BICYCLE SAFTEY WALL ART,2181.54,426,30
BIG DOUGHNUT FRIDGE MAGNETS,3382.3799999999997,4038,108
BIG PINK POODLE,63.8,4,1
BIG POLKADOT MUG,14.04,12,2
BILI NUT AND WOOD NECKLACE,18.0,18,3
BINGO SET,7459.62,2034,195
BIRD BOX CHRISTMAS TREE DECORATION,117.3,138,18
BIRD DECORATION GREEN  SPOT,249.04999999999998,293,20
BIRD DECORATION GREEN POLKADOT,218.45,257,19
BIRD DECORATION RED RETROSPOT,642.5799999999999,778,34
BIRD DECORATION RED SPOT,569.64,672,34
BIRD HOUSE HOT WATER BOTTLE,2962.7599999999998,1359,121
BIRD IN TREE MUG ,38.75,31,4
BIRD ON BRANCH CANVAS SCREEN,21.45,11,1
BIRDCAGE DECORATION MAGIC GARDEN,53.55,21,3
BIRDCAGE DECORATION TEALIGHT HOLDER,706.5,588,49
BIRDHOUSE DECORATION MAGIC GARDEN,973.98,826,73
BIRDHOUSE GARDEN MARKER ,2200.6,1628,77
BIRDS MOBILE VINTAGE DESIGN,1843.5600000000002,316,56
BIRTHDAY BANNER TAPE,30.0,24,2
BIRTHDAY BANQUET GIFT WRAP,777.8,1890,56
"BIRTHDAY CARD, RETRO SPOT",825.84,2028,83
BIRTHDAY PARTY CORDON BARRIER TAPE,481.27000000000004,404,32
BISCUIT TIN 50'S CHRISTMAS,3809.52,1348,143
BISCUIT TIN VINTAGE CHRISTMAS,3255.32,1394,122
BISCUIT TIN VINTAGE GREEN,2673.48,434,83
BISCUIT TIN VINTAGE LEAF,64.56,24,3
BISCUIT TIN VINTAGE RED,3327.1000000000004,530,101
"BISCUIT TIN, MINT,IVORY, VINTAGE",6.75,1,1
"BISCUIT TIN, RED,IVORY, VINTAGE",132.15,21,4
BISCUITS SMALL BOWL LIGHT BLUE,487.78,944,41
BLACK 3 BEAD DROP EARRINGS,0.0,0,1
BLACK 3 TIER GLASS PLATE STAND,51.0,4,3
